January 24, 2025: $105,398.66
January 23, 2025: $103,960.17
January 22, 2025: $103,653.07
January 21, 2025: $106,146.27
January 20, 2025: $102,016.66
January 19, 2025: $101,089.61
January 18, 2025: $104,408.07
January 17, 2025: $104,462.04
January 16, 2025: $99,756.91
January 15, 2025: $100,504.49
